target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,start_time_mjd,block_number,ra_hr
102_30,2026-07-19 00:38:58.123,2026-07-19 00:40:38.123,1.666666666666634,251.5068493150685,-19.870129870129876,{'dither': False},61240.027061608795,2,16.767123287671236
100_30,2026-07-19 00:40:38.123,2026-07-19 00:42:18.123,1.666666666666634,246.57534246575344,-19.870129870129876,{'dither': False},61240.0282190162,2,16.438356164383567
98_30,2026-07-19 00:42:18.123,2026-07-19 00:43:58.123,1.666666666666634,241.64383561643837,-19.870129870129876,{'dither': False},61240.02937642361,2,16.109589041095894
96_30,2026-07-19 00:43:58.123,2026-07-19 00:45:38.123,1.666666666666714,236.7123287671233,-19.870129870129876,{'dither': False},61240.03053383102,2,15.780821917808224
100_32,2026-07-19 00:45:38.123,2026-07-19 00:47:18.123,1.666666666666714,241.61073825503357,-15.194805194805197,{'dither': False},61240.03169123842,2,16.107382550335576
102_32,2026-07-19 00:47:18.123,2026-07-19 00:48:58.123,1.666666666666714,246.4429530201342,-15.194805194805197,{'dither': False},61240.03284864583,2,16.429530201342285
104_32,2026-07-19 00:48:58.123,2026-07-19 00:50:38.123,1.666666666666714,251.2751677852349,-15.194805194805197,{'dither': False},61240.03400605324,2,16.751677852348998
106_32,2026-07-19 00:50:38.123,2026-07-19 00:52:18.123,1.666666666666714,256.10738255033556,-15.194805194805197,{'dither': False},61240.03516346065,2,17.073825503355707
108_32,2026-07-19 00:52:18.123,2026-07-19 00:53:58.123,1.666666666666714,260.93959731543623,-15.194805194805197,{'dither': False},61240.03632086806,2,17.39597315436242
110_32,2026-07-19 00:53:58.123,2026-07-19 00:55:38.123,1.666666666666714,265.77181208053696,-15.194805194805197,{'dither': False},61240.037478275466,2,17.718120805369136
Unused Time,2026-07-19 00:55:38.123,2026-07-19 00:57:18.123,1.666666666666714,,,,61240.03863568287,2,
92_28_dither,2026-07-19 00:57:18.123,2026-07-19 00:58:58.123,1.666666666666714,232.41776563238773,-24.545454545454543,{'dither': True},61240.039793090276,3,15.494517708825851
