target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number,ra_hr
62_18,2026-06-08 02:21:01.964,2026-06-08 02:22:41.964,1.666666666666714,212.57142857142856,-47.922077922077925,{'dither': False},6,14.171428571428573
60_18,2026-06-08 02:22:41.964,2026-06-08 02:24:21.964,1.666666666666714,205.71428571428572,-47.922077922077925,{'dither': False},6,13.714285714285717
58_18,2026-06-08 02:24:21.964,2026-06-08 02:26:01.964,1.666666666666714,198.8571428571429,-47.922077922077925,{'dither': False},6,13.257142857142862
60_20,2026-06-08 02:26:01.964,2026-06-08 02:27:41.964,1.666666666666714,189.47368421052633,-43.24675324675325,{'dither': False},6,12.631578947368425
62_20,2026-06-08 02:27:41.964,2026-06-08 02:29:21.964,1.666666666666714,195.78947368421052,-43.24675324675325,{'dither': False},6,13.05263157894737
64_20,2026-06-08 02:29:21.964,2026-06-08 02:31:01.964,1.666666666666714,202.1052631578947,-43.24675324675325,{'dither': False},6,13.473684210526317
68_22,2026-06-08 02:31:01.964,2026-06-08 02:32:41.964,1.666666666666714,200.655737704918,-38.57142857142857,{'dither': False},6,13.37704918032787
66_22,2026-06-08 02:32:41.964,2026-06-08 02:34:21.964,1.666666666666714,194.75409836065575,-38.57142857142857,{'dither': False},6,12.983606557377053
64_22,2026-06-08 02:34:21.964,2026-06-08 02:36:01.964,1.666666666666714,188.85245901639345,-38.57142857142857,{'dither': False},6,12.590163934426233
62_22,2026-06-08 02:36:01.964,2026-06-08 02:37:41.964,1.666666666666714,182.95081967213113,-38.57142857142857,{'dither': False},6,12.196721311475411
60_22,2026-06-08 02:37:41.964,2026-06-08 02:39:21.964,1.666666666666714,177.04918032786884,-38.57142857142857,{'dither': False},6,11.80327868852459
62_24,2026-06-08 02:39:21.964,2026-06-08 02:41:01.964,1.666666666666714,173.02325581395348,-33.896103896103895,{'dither': False},6,11.534883720930235
64_24,2026-06-08 02:41:01.964,2026-06-08 02:42:41.964,1.666666666666714,178.6046511627907,-33.896103896103895,{'dither': False},6,11.90697674418605
66_24,2026-06-08 02:42:41.964,2026-06-08 02:44:21.964,1.666666666666714,184.1860465116279,-33.896103896103895,{'dither': False},6,12.279069767441863
68_24,2026-06-08 02:44:21.964,2026-06-08 02:46:01.964,1.6666666666659147,189.7674418604651,-33.896103896103895,{'dither': False},6,12.651162790697677
54_16_dither,2026-06-08 02:46:01.964,2026-06-08 02:47:41.964,1.666666666666714,200.0241486111111,-52.5974025974026,{'dither': True},7,13.334943240740742
56_16_dither,2026-06-08 02:47:41.964,2026-06-08 02:49:21.964,1.666666666666714,207.52414861111112,-52.5974025974026,{'dither': True},7,13.834943240740744
58_16_dither,2026-06-08 02:49:21.964,2026-06-08 02:51:01.964,1.666666666666714,215.0241486111111,-52.5974025974026,{'dither': True},7,14.334943240740742
62_18_dither,2026-06-08 02:51:01.964,2026-06-08 02:52:41.964,1.666666666666714,210.09557718253967,-47.922077922077925,{'dither': True},7,14.006371812169315
60_18_dither,2026-06-08 02:52:41.964,2026-06-08 02:54:21.964,1.666666666666714,203.23843432539684,-47.922077922077925,{'dither': True},7,13.549228955026459
58_18_dither,2026-06-08 02:54:21.964,2026-06-08 02:56:01.964,1.666666666666714,196.381291468254,-47.922077922077925,{'dither': True},7,13.092086097883604
60_20_dither,2026-06-08 02:56:01.964,2026-06-08 02:57:41.964,1.666666666666714,186.99783282163745,-43.24675324675325,{'dither': True},7,12.466522188109165
62_20_dither,2026-06-08 02:57:41.964,2026-06-08 02:59:21.964,1.666666666666714,193.31362229532164,-43.24675324675325,{'dither': True},7,12.887574819688112
64_20_dither,2026-06-08 02:59:21.964,2026-06-08 03:01:01.964,1.666666666666714,199.62941176900583,-43.24675324675325,{'dither': True},7,13.308627451267057
68_22_dither,2026-06-08 03:01:01.964,2026-06-08 03:02:41.964,1.666666666666714,198.17988631602913,-38.57142857142857,{'dither': True},7,13.211992421068611
66_22_dither,2026-06-08 03:02:41.964,2026-06-08 03:04:21.964,1.666666666666714,192.2782469717669,-38.57142857142857,{'dither': True},7,12.818549798117795
64_22_dither,2026-06-08 03:04:21.964,2026-06-08 03:06:01.964,1.666666666666714,186.37660762750457,-38.57142857142857,{'dither': True},7,12.425107175166973
62_22_dither,2026-06-08 03:06:01.964,2026-06-08 03:07:41.964,1.666666666666714,180.47496828324225,-38.57142857142857,{'dither': True},7,12.031664552216153
60_22_dither,2026-06-08 03:07:41.964,2026-06-08 03:09:21.964,1.666666666666714,174.57332893897996,-38.57142857142857,{'dither': True},7,11.638221929265333
64_24_dither,2026-06-08 03:09:21.964,2026-06-08 03:11:01.964,1.666666666666714,176.12879977390182,-33.896103896103895,{'dither': True},7,11.74191998492679
66_24_dither,2026-06-08 03:11:01.964,2026-06-08 03:12:41.964,1.666666666666714,181.710195122739,-33.896103896103895,{'dither': True},7,12.114013008182603
68_24_dither,2026-06-08 03:12:41.964,2026-06-08 03:14:21.964,1.666666666666714,187.29159047157623,-33.896103896103895,{'dither': True},7,12.486106031438418
Unused Time,2026-06-08 03:14:21.964,2026-06-08 03:16:01.964,1.6666666666659147,,,,7,
64_18,2026-06-08 03:16:01.964,2026-06-08 03:17:41.964,1.666666666666714,219.42857142857144,-47.922077922077925,{'dither': False},8,14.628571428571432
66_18,2026-06-08 03:17:41.964,2026-06-08 03:19:21.964,1.666666666666714,226.28571428571428,-47.922077922077925,{'dither': False},8,15.085714285714289
68_18,2026-06-08 03:19:21.964,2026-06-08 03:21:01.964,1.666666666666714,233.14285714285717,-47.922077922077925,{'dither': False},8,15.542857142857148
72_20,2026-06-08 03:21:01.964,2026-06-08 03:22:41.964,1.666666666666714,227.3684210526316,-43.24675324675325,{'dither': False},8,15.15789473684211
70_20,2026-06-08 03:22:41.964,2026-06-08 03:24:21.964,1.666666666666714,221.05263157894737,-43.24675324675325,{'dither': False},8,14.736842105263161
68_20,2026-06-08 03:24:21.964,2026-06-08 03:26:01.964,1.666666666666714,214.73684210526315,-43.24675324675325,{'dither': False},8,14.315789473684212
66_20,2026-06-08 03:26:01.964,2026-06-08 03:27:41.964,1.666666666666714,208.42105263157896,-43.24675324675325,{'dither': False},8,13.894736842105267
70_22,2026-06-08 03:27:41.964,2026-06-08 03:29:21.964,1.666666666666714,206.55737704918033,-38.57142857142857,{'dither': False},8,13.770491803278691
72_22,2026-06-08 03:29:21.964,2026-06-08 03:31:01.964,1.666666666666714,212.4590163934426,-38.57142857142857,{'dither': False},8,14.16393442622951
74_22,2026-06-08 03:31:01.964,2026-06-08 03:32:41.964,1.666666666666714,218.3606557377049,-38.57142857142857,{'dither': False},8,14.557377049180328
76_22,2026-06-08 03:32:41.964,2026-06-08 03:34:21.964,1.666666666666714,224.2622950819672,-38.57142857142857,{'dither': False},8,14.95081967213115
78_24,2026-06-08 03:34:21.964,2026-06-08 03:36:01.964,1.666666666666714,217.67441860465115,-33.896103896103895,{'dither': False},8,14.511627906976747
76_24,2026-06-08 03:36:01.964,2026-06-08 03:37:41.964,1.666666666666714,212.09302325581396,-33.896103896103895,{'dither': False},8,14.139534883720934
74_24,2026-06-08 03:37:41.964,2026-06-08 03:39:21.964,1.666666666666714,206.5116279069767,-33.896103896103895,{'dither': False},8,13.767441860465118
72_24,2026-06-08 03:39:21.964,2026-06-08 03:41:01.964,1.666666666666714,200.93023255813952,-33.896103896103895,{'dither': False},8,13.395348837209305
70_24,2026-06-08 03:41:01.964,2026-06-08 03:42:41.964,1.666666666666714,195.34883720930233,-33.896103896103895,{'dither': False},8,13.023255813953492
74_26,2026-06-08 03:42:41.964,2026-06-08 03:44:21.964,1.666666666666714,195.8823529411765,-29.220779220779225,{'dither': False},8,13.058823529411768
76_26,2026-06-08 03:44:21.964,2026-06-08 03:46:01.964,1.6666666666659147,201.1764705882353,-29.220779220779225,{'dither': False},8,13.411764705882357
64_18_dither,2026-06-08 03:46:01.964,2026-06-08 03:47:41.964,1.666666666666714,216.95272003968256,-47.922077922077925,{'dither': True},9,14.463514669312174
66_18_dither,2026-06-08 03:47:41.964,2026-06-08 03:49:21.964,1.666666666666714,223.8098628968254,-47.922077922077925,{'dither': True},9,14.92065752645503
68_18_dither,2026-06-08 03:49:21.964,2026-06-08 03:51:01.964,1.666666666666714,230.66700575396828,-47.922077922077925,{'dither': True},9,15.377800383597888
72_20_dither,2026-06-08 03:51:01.964,2026-06-08 03:52:41.964,1.666666666666714,224.8925696637427,-43.24675324675325,{'dither': True},9,14.99283797758285
70_20_dither,2026-06-08 03:52:41.964,2026-06-08 03:54:21.964,1.666666666666714,218.57678019005849,-43.24675324675325,{'dither': True},9,14.571785346003901
68_20_dither,2026-06-08 03:54:21.964,2026-06-08 03:56:01.964,1.666666666666714,212.26099071637427,-43.24675324675325,{'dither': True},9,14.150732714424954
66_20_dither,2026-06-08 03:56:01.964,2026-06-08 03:57:41.964,1.666666666666714,205.94520124269008,-43.24675324675325,{'dither': True},9,13.729680082846007
70_22_dither,2026-06-08 03:57:41.964,2026-06-08 03:59:21.964,1.666666666666714,204.08152566029145,-38.57142857142857,{'dither': True},9,13.605435044019432
72_22_dither,2026-06-08 03:59:21.964,2026-06-08 04:01:01.964,1.666666666666714,209.9831650045537,-38.57142857142857,{'dither': True},9,13.99887766697025
74_22_dither,2026-06-08 04:01:01.964,2026-06-08 04:02:41.964,1.666666666666714,215.884804348816,-38.57142857142857,{'dither': True},9,14.39232028992107
76_22_dither,2026-06-08 04:02:41.964,2026-06-08 04:04:21.964,1.666666666666714,221.78644369307833,-38.57142857142857,{'dither': True},9,14.785762912871892
78_24_dither,2026-06-08 04:04:21.964,2026-06-08 04:06:01.964,1.666666666666714,215.19856721576227,-33.896103896103895,{'dither': True},9,14.346571147717487
76_24_dither,2026-06-08 04:06:01.964,2026-06-08 04:07:41.964,1.666666666666714,209.61717186692508,-33.896103896103895,{'dither': True},9,13.974478124461674
74_24_dither,2026-06-08 04:07:41.964,2026-06-08 04:09:21.964,1.666666666666714,204.03577651808783,-33.896103896103895,{'dither': True},9,13.602385101205858
72_24_dither,2026-06-08 04:09:21.964,2026-06-08 04:11:01.964,1.666666666666714,198.45438116925064,-33.896103896103895,{'dither': True},9,13.230292077950045
70_24_dither,2026-06-08 04:11:01.964,2026-06-08 04:12:41.964,1.666666666666714,192.87298582041345,-33.896103896103895,{'dither': True},9,12.858199054694232
74_26_dither,2026-06-08 04:12:41.964,2026-06-08 04:14:21.964,1.666666666666714,193.4065015522876,-29.220779220779225,{'dither': True},9,12.89376677015251
76_26_dither,2026-06-08 04:14:21.964,2026-06-08 04:16:01.964,1.6666666666659147,198.7006191993464,-29.220779220779225,{'dither': True},9,13.246707946623095
66_16,2026-06-08 04:16:01.964,2026-06-08 04:17:41.964,1.666666666666714,247.49999999999997,-52.5974025974026,{'dither': False},10,16.5
72_18,2026-06-08 04:17:41.964,2026-06-08 04:19:21.964,1.666666666666714,246.8571428571429,-47.922077922077925,{'dither': False},10,16.457142857142863
74_20,2026-06-08 04:19:21.964,2026-06-08 04:21:01.964,1.666666666666714,233.68421052631575,-43.24675324675325,{'dither': False},10,15.578947368421053
76_20,2026-06-08 04:21:01.964,2026-06-08 04:22:41.964,1.666666666666714,239.99999999999997,-43.24675324675325,{'dither': False},10,16.0
78_20,2026-06-08 04:22:41.964,2026-06-08 04:24:21.964,1.666666666666714,246.3157894736842,-43.24675324675325,{'dither': False},10,16.42105263157895
82_22,2026-06-08 04:24:21.964,2026-06-08 04:26:01.964,1.666666666666714,241.9672131147541,-38.57142857142857,{'dither': False},10,16.13114754098361
80_22,2026-06-08 04:26:01.964,2026-06-08 04:27:41.964,1.666666666666714,236.06557377049177,-38.57142857142857,{'dither': False},10,15.737704918032788
78_22,2026-06-08 04:27:41.964,2026-06-08 04:29:21.964,1.666666666666714,230.1639344262295,-38.57142857142857,{'dither': False},10,15.34426229508197
80_24,2026-06-08 04:29:21.964,2026-06-08 04:31:01.964,1.666666666666714,223.25581395348837,-33.896103896103895,{'dither': False},10,14.883720930232561
82_24,2026-06-08 04:31:01.964,2026-06-08 04:32:41.964,1.666666666666714,228.83720930232556,-33.896103896103895,{'dither': False},10,15.255813953488374
84_24,2026-06-08 04:32:41.964,2026-06-08 04:34:21.964,1.666666666666714,234.4186046511628,-33.896103896103895,{'dither': False},10,15.62790697674419
86_24,2026-06-08 04:34:21.964,2026-06-08 04:36:01.964,1.666666666666714,239.99999999999997,-33.896103896103895,{'dither': False},10,16.0
