ra_deg,dec_deg,Field Name,l,b,program_id,last_scheduled_mjd
8.372093023255815,-57.27272727272727,2_14,307.73946482420394,-59.68766397459565,1,0.0
16.74418604651163,-57.27272727272727,4_14,298.7649879190393,-59.72962998238486,1,0.0
25.11627906976744,-57.27272727272727,6_14,290.1957837560864,-58.62677520022047,1,0.0
33.48837209302326,-57.27272727272727,8_14,282.74240914443357,-56.50257198664444,1,0.0
41.86046511627907,-57.27272727272727,10_14,276.7490991864206,-53.55518370571792,1,0.0
50.23255813953488,-57.27272727272727,12_14,272.23609274272525,-49.99415625391428,1,0.0
58.6046511627907,-57.27272727272727,14_14,269.0507670430767,-46.00319953838879,1,0.0
66.97674418604652,-57.27272727272727,16_14,266.99081201448433,-41.730039849037304,1,0.0
75.34883720930233,-57.27272727272727,18_14,265.86711525447066,-37.29032056309002,1,0.0
83.72093023255815,-57.27272727272727,20_14,265.5251874625281,-32.77553814023329,1,0.0
92.09302325581396,-57.27272727272727,22_14,265.84691231236724,-28.26058372422142,1,0.0
100.46511627906976,-57.27272727272727,24_14,266.74521955568827,-23.809671600087672,1,0.0
108.83720930232558,-57.27272727272727,26_14,268.15719704682704,-19.480660453112147,1,0.0
117.2093023255814,-57.27272727272727,28_14,270.03755217495524,-15.328070738257809,1,0.0
125.58139534883723,-57.27272727272727,30_14,272.3528255161206,-11.405074417156756,1,0.0
133.95348837209303,-57.27272727272727,32_14,275.0762422572798,-7.76462716764051,1,0.0
142.32558139534882,-57.27272727272727,34_14,278.1829989331067,-4.459812551243437,1,0.0
150.69767441860466,-57.27272727272727,36_14,281.64588689776207,-1.5434022829877576,1,0.0
159.06976744186048,-57.27272727272727,38_14,285.4313526503597,0.9333768071956263,1,0.0
167.4418604651163,-57.27272727272727,40_14,289.49632644134925,2.9228272294465536,1,0.0
175.8139534883721,-57.27272727272727,42_14,293.78633310119756,4.383355971506492,1,0.0
184.18604651162792,-57.27272727272727,44_14,298.23542279577066,5.282315782086738,1,0.0
192.55813953488374,-57.27272727272727,46_14,302.76822909120057,5.598637200942862,1,0.0
200.93023255813952,-57.27272727272727,48_14,307.30397917181966,5.324719456548571,1,0.0
209.30232558139537,-57.27272727272727,50_14,311.7617043416742,4.467150179943546,1,0.0
217.67441860465115,-57.27272727272727,52_14,316.06549507025807,3.04608046787807,1,0.0
226.046511627907,-57.27272727272727,54_14,320.148629217127,1.0934062193134726,1,0.0
234.4186046511628,-57.27272727272727,56_14,323.9557833876708,-1.349828096423841,1,0.0
242.7906976744186,-57.27272727272727,58_14,327.4431110516199,-4.236272956409585,1,0.0
251.16279069767447,-57.27272727272727,60_14,330.57646755359747,-7.514880976631961,1,0.0
259.5348837209303,-57.27272727272727,62_14,333.32831237774644,-11.13294104890947,1,0.0
267.90697674418607,-57.27272727272727,64_14,335.6738110124461,-15.037367916631514,1,0.0
276.27906976744185,-57.27272727272727,66_14,337.5864837972542,-19.17519891210557,1,0.0
284.65116279069764,-57.27272727272727,68_14,339.033518216007,-23.493305862208608,1,0.0
293.02325581395354,-57.27272727272727,70_14,339.9706579593272,-27.93732090105236,1,0.0
301.3953488372093,-57.27272727272727,72_14,340.3364690049019,-32.44971281013897,1,0.0
309.7674418604651,-57.27272727272727,74_14,340.04585174431566,-36.96685172760463,1,0.0
318.13953488372096,-57.27272727272727,76_14,338.9831410288069,-41.41479254764229,1,0.0
326.5116279069768,-57.27272727272727,78_14,336.996542829084,-45.70346923153629,1,0.0
334.8837209302326,-57.27272727272727,80_14,333.8990612182864,-49.71925174931634,1,0.0
343.25581395348837,-57.27272727272727,82_14,329.4878787616695,-53.3169442021815,1,0.0
351.6279069767442,-57.27272727272727,84_14,323.60342199171504,-56.3153338705945,1,0.0
0.0,-52.5974025974026,0_16,320.1224271094019,-62.78019877429674,1,0.0
7.499999999999999,-52.5974025974026,2_16,310.4269005415435,-64.21776109136474,1,0.0
14.999999999999998,-52.5974025974026,4_16,299.913287738434,-64.4806374510485,1,0.0
22.5,-52.5974025974026,6_16,289.73918669317493,-63.53190253073011,1,0.0
29.999999999999996,-52.5974025974026,8_16,280.89824450629607,-61.49873547471761,1,0.0
37.49999999999999,-52.5974025974026,10_16,273.8455709294259,-58.604496917136835,1,0.0
45.0,-52.5974025974026,12_16,268.5622025603084,-55.081732382713724,1,0.0
52.5,-52.5974025974026,14_16,264.8038369140351,-51.12481592784628,1,0.0
59.99999999999999,-52.5974025974026,16_16,262.2839248943481,-46.88118887413491,1,0.0
67.5,-52.5974025974026,18_16,260.75266437910426,-42.45951892630065,1,0.0
74.99999999999999,-52.5974025974026,20_16,260.01577506540787,-37.9408439769346,1,0.0
82.5,-52.5974025974026,22_16,259.9299300576289,-33.38784200255211,1,0.0
90.0,-52.5974025974026,24_16,260.3923417723228,-28.851527790032588,1,0.0
97.49999999999999,-52.5974025974026,26_16,261.3307279533077,-24.375875970375994,1,0.0
105.0,-52.5974025974026,28_16,262.69519321250266,-20.00099054905425,1,0.0
112.49999999999999,-52.5974025974026,30_16,264.4519651487398,-15.765291116546917,1,0.0
119.99999999999999,-52.5974025974026,32_16,266.57851155080215,-11.707016563757177,1,0.0
127.49999999999999,-52.5974025974026,34_16,269.05954609585024,-7.865213246120133,1,0.0
135.0,-52.5974025974026,36_16,271.8835232547338,-4.280276932235162,1,0.0
142.5,-52.5974025974026,38_16,275.03934690526904,-0.9940491640826418,1,0.0
149.99999999999997,-52.5974025974026,40_16,278.51316002798734,1.9505738938305044,1,0.0
157.5,-52.5974025974026,42_16,282.285250942234,4.510574098177254,1,0.0
165.0,-52.5974025974026,44_16,286.32730096278385,6.644311667136525,1,0.0
172.49999999999997,-52.5974025974026,46_16,290.600376275084,8.313543823675671,1,0.0
180.0,-52.5974025974026,48_16,295.05416411868555,9.485793042240402,1,0.0
187.5,-52.5974025974026,50_16,299.62788326606835,10.136760537304367,1,0.0
194.99999999999997,-52.5974025974026,52_16,304.25300987288534,10.252381110242997,1,0.0
202.49999999999997,-52.5974025974026,54_16,308.85750127884506,9.830112112090365,1,0.0
210.0,-52.5974025974026,56_16,313.3707418911548,8.879174336309264,1,0.0
217.49999999999997,-52.5974025974026,58_16,317.7281931838844,7.419689946119831,1,0.0
224.99999999999997,-52.5974025974026,60_16,321.8748305803383,5.480910784021435,1,0.0
232.5,-52.5974025974026,62_16,325.7668400471909,3.098906352637657,1,0.0
239.99999999999997,-52.5974025974026,64_16,329.3715319889041,0.31413152929499033,1,0.0
247.49999999999997,-52.5974025974026,66_16,332.6658052656912,-2.8307708130529123,1,0.0
254.99999999999997,-52.5974025974026,68_16,335.63365642788204,-6.292704782888717,1,0.0
262.49999999999994,-52.5974025974026,70_16,338.26319369074986,-10.029297830541521,1,0.0
270.0,-52.5974025974026,72_16,340.5434615482634,-13.99951828368802,1,0.0
277.5,-52.5974025974026,74_16,342.46119125698516,-18.16378159626804,1,0.0
285.0,-52.5974025974026,76_16,343.9974133713339,-22.48359662282785,1,0.0
292.5,-52.5974025974026,78_16,345.12371549518605,-26.92077285278074,1,0.0
