target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration,block_number
52_28,2026-04-25 03:44:56.488,2026-04-25 03:46:36.488,1.666666666666714,132.7659574468085 deg,-24.545454545454543 deg,{},8
TransitionBlock,2026-04-25 03:46:36.488,2026-04-25 03:46:38.911,0.04037299729027666,,,[],8
44_20,2026-04-25 03:46:38.911,2026-04-25 03:48:18.911,1.666666666666714,138.94736842105263 deg,-43.24675324675325 deg,{},8
TransitionBlock,2026-04-25 03:48:18.911,2026-04-25 03:48:20.081,0.019504861362200643,,,[],8
50_24,2026-04-25 03:48:20.081,2026-04-25 03:50:00.081,1.666666666666714,139.53488372093022 deg,-33.896103896103895 deg,{},8
52_26,2026-04-25 03:50:00.081,2026-04-25 03:51:40.081,1.666666666666714,137.6470588235294 deg,-29.220779220779225 deg,{},8
TransitionBlock,2026-04-25 03:51:40.081,2026-04-25 03:51:42.419,0.03897148690125363,,,[],8
40_18,2026-04-25 03:51:42.419,2026-04-25 03:53:22.419,1.666666666666714,137.14285714285714 deg,-47.922077922077925 deg,{},8
TransitionBlock,2026-04-25 03:53:22.419,2026-04-25 03:53:23.657,0.020632480711455514,,,[],8
48_22,2026-04-25 03:53:23.657,2026-04-25 03:55:03.657,1.666666666666714,141.63934426229508 deg,-38.57142857142857 deg,{},8
TransitionBlock,2026-04-25 03:55:03.657,2026-04-25 03:55:05.502,0.030751426820643246,,,[],8
36_16,2026-04-25 03:55:05.502,2026-04-25 03:56:45.502,1.666666666666714,135.0 deg,-52.5974025974026 deg,{},8
TransitionBlock,2026-04-25 03:56:45.502,2026-04-25 03:56:49.020,0.058620536642290944,,,[],8
54_28,2026-04-25 03:56:49.020,2026-04-25 03:58:29.020,1.666666666666714,137.87234042553192 deg,-24.545454545454543 deg,{},8
Unused Time,2026-04-25 03:58:29.020,2026-04-25 04:04:52.311,6.3881858833867255,,,,8
51_25,2026-04-25 04:04:52.311,2026-04-25 04:06:32.311,1.666666666666714,138.04511278195488 deg,-31.558441558441565 deg,{},9
49_23,2026-04-25 04:06:32.311,2026-04-25 04:08:12.311,1.666666666666714,140.00000000000003 deg,-36.23376623376624 deg,{},9
TransitionBlock,2026-04-25 04:08:12.311,2026-04-25 04:08:13.494,0.01972370738078766,,,[],9
53_27,2026-04-25 04:08:13.494,2026-04-25 04:09:53.494,1.666666666666714,138.2608695652174 deg,-26.883116883116884 deg,{},9
53_25,2026-04-25 04:09:53.494,2026-04-25 04:11:33.494,1.666666666666714,143.45864661654136 deg,-31.558441558441565 deg,{},9
TransitionBlock,2026-04-25 04:11:33.494,2026-04-25 04:11:34.663,0.019481900318254475,,,[],9
47_21,2026-04-25 04:11:34.663,2026-04-25 04:13:14.663,1.666666666666714,143.38983050847455 deg,-40.909090909090914 deg,{},9
51_23,2026-04-25 04:13:14.663,2026-04-25 04:14:54.663,1.666666666666714,145.71428571428572 deg,-36.23376623376624 deg,{},9
TransitionBlock,2026-04-25 04:14:54.663,2026-04-25 04:14:55.856,0.019880107678940107,,,[],9
55_27,2026-04-25 04:14:55.856,2026-04-25 04:16:35.856,1.666666666666714,143.47826086956522 deg,-26.883116883116884 deg,{},9
TransitionBlock,2026-04-25 04:16:35.856,2026-04-25 04:16:38.210,0.03923007388012323,,,[],9
43_19,2026-04-25 04:16:38.210,2026-04-25 04:18:18.210,1.666666666666714,140.72727272727272 deg,-45.58441558441559 deg,{},9
TransitionBlock,2026-04-25 04:18:18.210,2026-04-25 04:18:20.133,0.03205114196015657,,,[],9
55_25,2026-04-25 04:18:20.133,2026-04-25 04:20:00.133,1.666666666666714,148.8721804511278 deg,-31.558441558441565 deg,{},9
TransitionBlock,2026-04-25 04:20:00.133,2026-04-25 04:20:01.446,0.02188435750728246,,,[],9
57_29,2026-04-25 04:20:01.446,2026-04-25 04:21:41.446,1.666666666666714,143.49650349650352 deg,-22.207792207792203 deg,{},9
TransitionBlock,2026-04-25 04:21:41.446,2026-04-25 04:21:43.868,0.04036372936896626,,,[],9
49_21,2026-04-25 04:21:43.868,2026-04-25 04:23:23.868,1.666666666666714,149.4915254237288 deg,-40.909090909090914 deg,{},9
TransitionBlock,2026-04-25 04:23:23.868,2026-04-25 04:23:25.350,0.02471076585113252,,,[],9
39_17,2026-04-25 04:23:25.350,2026-04-25 04:25:05.350,1.666666666666714,139.009900990099 deg,-50.259740259740255 deg,{},9
45_19,2026-04-25 04:25:05.350,2026-04-25 04:26:45.350,1.666666666666714,147.27272727272725 deg,-45.58441558441559 deg,{},9
Unused Time,2026-04-25 04:26:45.350,2026-04-25 04:34:52.311,8.116007549387128,,,,9
54_26,2026-04-25 04:34:52.311,2026-04-25 04:36:32.311,1.666666666666714,142.94117647058823 deg,-29.220779220779225 deg,{},10
52_24,2026-04-25 04:36:32.311,2026-04-25 04:38:12.311,1.666666666666714,145.11627906976742 deg,-33.896103896103895 deg,{},10
56_26,2026-04-25 04:38:12.311,2026-04-25 04:39:52.311,1.666666666666714,148.23529411764707 deg,-29.220779220779225 deg,{},10
TransitionBlock,2026-04-25 04:39:52.311,2026-04-25 04:39:53.482,0.019518356337098197,,,[],10
50_22,2026-04-25 04:39:53.482,2026-04-25 04:41:33.482,1.666666666666714,147.54098360655738 deg,-38.57142857142857 deg,{},10
TransitionBlock,2026-04-25 04:41:33.482,2026-04-25 04:41:35.236,0.02923825359344434,,,[],10
58_28,2026-04-25 04:41:35.236,2026-04-25 04:43:15.236,1.666666666666714,148.08510638297872 deg,-24.545454545454543 deg,{},10
TransitionBlock,2026-04-25 04:43:15.236,2026-04-25 04:43:16.439,0.020050066258949784,,,[],10
54_24,2026-04-25 04:43:16.439,2026-04-25 04:44:56.439,1.666666666666714,150.69767441860463 deg,-33.896103896103895 deg,{},10
TransitionBlock,2026-04-25 04:44:56.439,2026-04-25 04:44:57.722,0.021385976664607398,,,[],10
46_20,2026-04-25 04:44:57.722,2026-04-25 04:46:37.722,1.666666666666714,145.26315789473685 deg,-43.24675324675325 deg,{},10
TransitionBlock,2026-04-25 04:46:37.722,2026-04-25 04:46:39.661,0.03231525188880369,,,[],10
