target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
icrs,2025-12-12 02:02:11.774,2025-12-12 02:02:46.774,0.5833333333333179,65.73913043478261 deg,-45.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:02:46.774,2025-12-12 02:03:09.395,0.3770151649612785,,,[]
icrs,2025-12-12 02:03:09.395,2025-12-12 02:03:44.395,0.5833333333333179,70.0 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 02:03:44.395,2025-12-12 02:04:17.458,0.5510588601689115,,,[]
icrs,2025-12-12 02:04:17.458,2025-12-12 02:04:52.458,0.5833333333333179,56.47058823529411 deg,-52.22222222222222 deg,{}
TransitionBlock,2025-12-12 02:04:52.458,2025-12-12 02:04:59.191,0.11220557843660828,,,[]
icrs,2025-12-12 02:04:59.191,2025-12-12 02:05:34.191,0.5833333333333179,48.24742268041237 deg,-54.44444444444444 deg,{}
TransitionBlock,2025-12-12 02:05:34.191,2025-12-12 02:06:01.105,0.4485706715224147,,,[]
icrs,2025-12-12 02:06:01.105,2025-12-12 02:06:36.105,0.5833333333333179,70.3125 deg,-38.888888888888886 deg,{}
TransitionBlock,2025-12-12 02:06:36.105,2025-12-12 02:07:07.394,0.5214806310634046,,,[]
icrs,2025-12-12 02:07:07.394,2025-12-12 02:07:42.394,0.5833333333333179,64.20382165605096 deg,-14.444444444444446 deg,{}
TransitionBlock,2025-12-12 02:07:42.394,2025-12-12 02:08:16.255,0.5643536174348718,,,[]
icrs,2025-12-12 02:08:16.255,2025-12-12 02:08:51.255,0.5833333333333179,69.67741935483872 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 02:08:51.255,2025-12-12 02:09:13.478,0.3703801958452324,,,[]
icrs,2025-12-12 02:09:13.478,2025-12-12 02:09:48.478,0.5833333333333179,69.6 deg,-23.333333333333336 deg,{}
TransitionBlock,2025-12-12 02:09:48.478,2025-12-12 02:09:51.451,0.04955130933106844,,,[]
icrs,2025-12-12 02:09:51.451,2025-12-12 02:10:26.451,0.5833333333333179,68.6842105263158 deg,-21.11111111111111 deg,{}
TransitionBlock,2025-12-12 02:10:26.451,2025-12-12 02:10:38.002,0.1925233510077895,,,[]
icrs,2025-12-12 02:10:38.002,2025-12-12 02:11:13.002,0.5833333333333179,71.48936170212767 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 02:11:13.002,2025-12-12 02:11:27.511,0.241821354473295,,,[]
icrs,2025-12-12 02:11:27.511,2025-12-12 02:12:02.511,0.5833333333333179,67.79220779220779 deg,-18.888888888888893 deg,{}
TransitionBlock,2025-12-12 02:12:02.511,2025-12-12 02:12:25.094,0.3763764584487994,,,[]
icrs,2025-12-12 02:12:25.094,2025-12-12 02:13:00.094,0.5833333333333179,71.45038167938932 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 02:13:00.094,2025-12-12 02:13:13.991,0.23161174817307284,,,[]
icrs,2025-12-12 02:13:13.991,2025-12-12 02:13:48.991,0.5833333333333179,71.02040816326532 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:13:48.991,2025-12-12 02:14:11.309,0.3719689810818849,,,[]
icrs,2025-12-12 02:14:11.309,2025-12-12 02:14:46.309,0.5833333333333179,69.0 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 02:14:46.309,2025-12-12 02:14:52.937,0.11047365682568255,,,[]
icrs,2025-12-12 02:14:52.937,2025-12-12 02:15:27.937,0.5833333333333179,64.86486486486487 deg,-47.77777777777778 deg,{}
TransitionBlock,2025-12-12 02:15:27.937,2025-12-12 02:16:06.885,0.649123141971355,,,[]
icrs,2025-12-12 02:16:06.885,2025-12-12 02:16:41.885,0.5833333333333179,66.92307692307692 deg,-16.666666666666668 deg,{}
TransitionBlock,2025-12-12 02:16:41.885,2025-12-12 02:16:57.193,0.2551447568253984,,,[]
icrs,2025-12-12 02:16:57.193,2025-12-12 02:17:32.193,0.5833333333333179,72.5 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 02:17:32.193,2025-12-12 02:17:37.780,0.09311126257999902,,,[]
icrs,2025-12-12 02:17:37.780,2025-12-12 02:18:12.780,0.5833333333333179,73.04347826086956 deg,-32.22222222222223 deg,{}
TransitionBlock,2025-12-12 02:18:12.780,2025-12-12 02:18:39.941,0.4526816596347416,,,[]
icrs,2025-12-12 02:18:39.941,2025-12-12 02:19:14.941,0.5833333333333179,63.79746835443038 deg,-12.222222222222223 deg,{}
TransitionBlock,2025-12-12 02:19:14.941,2025-12-12 02:19:56.957,0.7002619126774157,,,[]
icrs,2025-12-12 02:19:56.957,2025-12-12 02:20:31.957,0.5833333333333179,68.86956521739131 deg,-45.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:20:31.957,2025-12-12 02:21:10.927,0.6495049552155763,,,[]
icrs,2025-12-12 02:21:10.927,2025-12-12 02:21:45.927,0.5833333333333179,66.49681528662421 deg,-14.444444444444446 deg,{}
TransitionBlock,2025-12-12 02:21:45.927,2025-12-12 02:22:07.225,0.35497421455646716,,,[]
icrs,2025-12-12 02:22:07.225,2025-12-12 02:22:42.225,0.5833333333333179,74.04255319148936 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 02:22:42.225,2025-12-12 02:22:56.807,0.24303093154076194,,,[]
icrs,2025-12-12 02:22:56.807,2025-12-12 02:23:31.807,0.5833333333333179,70.12987012987013 deg,-18.888888888888893 deg,{}
TransitionBlock,2025-12-12 02:23:31.807,2025-12-12 02:23:59.709,0.4650247917898298,,,[]
icrs,2025-12-12 02:23:59.709,2025-12-12 02:24:34.709,0.5833333333333179,72.58064516129032 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 02:24:34.709,2025-12-12 02:24:54.175,0.3244426695931857,,,[]
icrs,2025-12-12 02:24:54.175,2025-12-12 02:25:29.175,0.5833333333333179,73.46938775510205 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:25:29.175,2025-12-12 02:25:43.086,0.231847296140284,,,[]
icrs,2025-12-12 02:25:43.086,2025-12-12 02:26:18.086,0.5833333333333179,74.19847328244275 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 02:26:18.086,2025-12-12 02:26:43.684,0.42663389268145835,,,[]
icrs,2025-12-12 02:26:43.684,2025-12-12 02:27:18.684,0.5833333333333179,69.23076923076923 deg,-16.666666666666668 deg,{}
TransitionBlock,2025-12-12 02:27:18.684,2025-12-12 02:27:41.726,0.3840239224534159,,,[]
icrs,2025-12-12 02:27:41.726,2025-12-12 02:28:16.726,0.5833333333333179,74.66666666666666 deg,-34.44444444444445 deg,{}
TransitionBlock,2025-12-12 02:28:16.726,2025-12-12 02:28:25.067,0.13901750053177508,,,[]
icrs,2025-12-12 02:28:25.067,2025-12-12 02:29:00.067,0.5833333333333179,75.0 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 02:29:00.067,2025-12-12 02:29:29.587,0.4920057427989022,,,[]
icrs,2025-12-12 02:29:29.587,2025-12-12 02:30:04.587,0.5833333333333179,64.52830188679245 deg,-50.0 deg,{}
TransitionBlock,2025-12-12 02:30:04.587,2025-12-12 02:30:29.093,0.40843325593828084,,,[]
icrs,2025-12-12 02:30:29.093,2025-12-12 02:31:04.093,0.5833333333333179,75.65217391304348 deg,-32.22222222222223 deg,{}
TransitionBlock,2025-12-12 02:31:04.093,2025-12-12 02:31:31.404,0.4551857480619148,,,[]
icrs,2025-12-12 02:31:31.404,2025-12-12 02:32:06.404,0.5833333333333179,66.07594936708861 deg,-12.222222222222223 deg,{}
TransitionBlock,2025-12-12 02:32:06.404,2025-12-12 02:32:50.901,0.7416059844261369,,,[]
icrs,2025-12-12 02:32:50.901,2025-12-12 02:33:25.901,0.5833333333333179,68.10810810810811 deg,-47.77777777777778 deg,{}
TransitionBlock,2025-12-12 02:33:25.901,2025-12-12 02:33:57.094,0.5198855164038463,,,[]
icrs,2025-12-12 02:33:57.094,2025-12-12 02:34:32.094,0.5833333333333179,74.39999999999999 deg,-23.333333333333336 deg,{}
TransitionBlock,2025-12-12 02:34:32.094,2025-12-12 02:34:35.094,0.0499979746653878,,,[]
icrs,2025-12-12 02:34:35.094,2025-12-12 02:35:10.094,0.5833333333333179,73.42105263157895 deg,-21.11111111111111 deg,{}
TransitionBlock,2025-12-12 02:35:10.094,2025-12-12 02:35:20.083,0.16649205616074525,,,[]
icrs,2025-12-12 02:35:20.083,2025-12-12 02:35:55.083,0.5833333333333179,68.78980891719746 deg,-14.444444444444446 deg,{}
TransitionBlock,2025-12-12 02:35:55.083,2025-12-12 02:36:02.172,0.1181438093477638,,,[]
icrs,2025-12-12 02:36:02.172,2025-12-12 02:36:37.172,0.5833333333333179,72.46753246753246 deg,-18.888888888888893 deg,{}
TransitionBlock,2025-12-12 02:36:37.172,2025-12-12 02:37:02.453,0.4213591905836367,,,[]
icrs,2025-12-12 02:37:02.453,2025-12-12 02:37:37.453,0.5833333333333179,75.9375 deg,-38.888888888888886 deg,{}
TransitionBlock,2025-12-12 02:37:37.453,2025-12-12 02:37:54.120,0.27778095487418497,,,[]
icrs,2025-12-12 02:37:54.120,2025-12-12 02:38:29.120,0.5833333333333179,75.91836734693878 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:38:29.120,2025-12-12 02:38:41.346,0.20376277157435396,,,[]
icrs,2025-12-12 02:38:41.346,2025-12-12 02:39:16.346,0.5833333333333179,71.53846153846153 deg,-16.666666666666668 deg,{}
TransitionBlock,2025-12-12 02:39:16.346,2025-12-12 02:39:42.053,0.42845078868070985,,,[]
icrs,2025-12-12 02:39:42.053,2025-12-12 02:40:17.053,0.5833333333333179,76.94656488549619 deg,-36.66666666666667 deg,{}
TransitionBlock,2025-12-12 02:40:17.053,2025-12-12 02:40:19.858,0.046758372220843114,,,[]
icrs,2025-12-12 02:40:19.858,2025-12-12 02:40:54.858,0.5833333333333179,77.33333333333334 deg,-34.44444444444445 deg,{}
TransitionBlock,2025-12-12 02:40:54.858,2025-12-12 02:41:03.389,0.14217954965239699,,,[]
icrs,2025-12-12 02:41:03.389,2025-12-12 02:41:38.389,0.5833333333333179,75.48387096774194 deg,-41.11111111111111 deg,{}
TransitionBlock,2025-12-12 02:41:38.389,2025-12-12 02:41:55.184,0.27990842923198755,,,[]
icrs,2025-12-12 02:41:55.184,2025-12-12 02:42:30.184,0.5833333333333179,77.5 deg,-27.777777777777786 deg,{}
TransitionBlock,2025-12-12 02:42:30.184,2025-12-12 02:42:56.667,0.44139377402212077,,,[]
icrs,2025-12-12 02:42:56.667,2025-12-12 02:43:31.667,0.5833333333333179,65.25 deg,-10.000000000000002 deg,{}
TransitionBlock,2025-12-12 02:43:31.667,2025-12-12 02:43:36.381,0.07855348998955236,,,[]
icrs,2025-12-12 02:43:36.381,2025-12-12 02:44:11.381,0.5833333333333179,68.35443037974684 deg,-12.222222222222223 deg,{}
TransitionBlock,2025-12-12 02:44:11.381,2025-12-12 02:44:50.927,0.6591111294856944,,,[]
icrs,2025-12-12 02:44:50.927,2025-12-12 02:45:25.927,0.5833333333333179,74.99999999999999 deg,-43.333333333333336 deg,{}
TransitionBlock,2025-12-12 02:45:25.927,2025-12-12 02:45:50.996,0.41781976881788196,,,[]
icrs,2025-12-12 02:45:50.996,2025-12-12 02:46:25.996,0.5833333333333179,76.8 deg,-23.333333333333336 deg,{}
TransitionBlock,2025-12-12 02:46:25.996,2025-12-12 02:46:38.998,0.21670078505716006,,,[]
icrs,2025-12-12 02:46:38.998,2025-12-12 02:47:13.998,0.5833333333333179,71.0828025477707 deg,-14.444444444444446 deg,{}
TransitionBlock,2025-12-12 02:47:13.998,2025-12-12 02:47:21.120,0.1186989212514078,,,[]
icrs,2025-12-12 02:47:21.120,2025-12-12 02:47:56.120,0.5833333333333179,74.8051948051948 deg,-18.888888888888893 deg,{}
TransitionBlock,2025-12-12 02:47:56.120,2025-12-12 02:48:10.858,0.24563517323697326,,,[]
icrs,2025-12-12 02:48:10.858,2025-12-12 02:48:45.858,0.5833333333333179,79.14893617021276 deg,-30.000000000000004 deg,{}
TransitionBlock,2025-12-12 02:48:45.858,2025-12-12 02:48:51.481,0.09370623503370368,,,[]
icrs,2025-12-12 02:48:51.481,2025-12-12 02:49:26.481,0.5833333333333179,78.36734693877551 deg,-25.55555555555556 deg,{}
TransitionBlock,2025-12-12 02:49:26.481,2025-12-12 02:49:38.776,0.2049208207152553,,,[]
icrs,2025-12-12 02:49:38.776,2025-12-12 02:50:13.776,0.5833333333333179,73.84615384615384 deg,-16.666666666666668 deg,{}
TransitionBlock,2025-12-12 02:50:13.776,2025-12-12 02:50:52.750,0.6495663160903575,,,[]
icrs,2025-12-12 02:50:52.750,2025-12-12 02:51:27.750,0.5833333333333179,71.35135135135135 deg,-47.77777777777778 deg,{}
TransitionBlock,2025-12-12 02:51:27.750,2025-12-12 02:51:43.620,0.2645001040025008,,,[]
